name,gender,experience,salary
Karyl Ollerhad,F,3,159929
Keenan Cankett,M,6,260190
Cookie Lowndesbrough,F,7,208076
Simone Parlour,M,0,224652
Brnaby Ferrieres,M,9,72333
Xavier Bampton,M,10,184593
Shel Rouke,F,6,207601
Jesse Dunphy,F,6,56302
Gertruda Pizer,M,0,26144
Carmelia McCool,F,1,116920
Sheryl Softley,M,4,275188
Maryanne Broadbere,F,3,202498
Kienan Gunson,F,8,299203
Lyn Shillaker,F,4,240613
Val Cackett,F,0,82436
Zorine Geratasch,F,3,216784
Carmencita Dicty,M,4,289277
Moselle Liffey,F,6,250495
Robbie Baugh,M,0,122017
Yolane Mellish,F,5,281387
Tabb Barkley,M,4,70804
Ignacio Bowden,F,6,72296
Dionysus Dudden,M,3,128679
Reeba Tash,M,1,79744
Gnni Galero,F,2,65564
Clerc Vinick,F,8,111871
Tracey Hedgeley,F,0,188734
Birch Gulleford,M,10,222287
Lou Keysel,M,0,176494
Hulda Smaile,M,0,191987
Whit Oley,M,0,228002
Zoe Adamini,M,3,118249
Vincent Richfield,M,3,201752
Hannis Forkan,F,2,140590
Danella Barnsdall,F,1,86669
Jemmy Grennan,F,4,247971
Mallory Kivelhan,F,2,141245
Frieda Hemeret,F,8,263890
Kelbee Richardet,M,3,56792
Delmore Leisman,M,9,204336
Marlena Plover,F,7,88133
Ginnie Mansuer,F,7,230908
Bobbie Guerra,F,1,242460
Sherwood Murford,F,7,294782
Meta Rootes,F,7,255652
Abbey Lillyman,M,10,151565
Griselda Karet,F,0,132825
Ajay Bassick,F,4,41595
Osbert Springate,F,10,222743
Jocko Petrak,F,1,209530
Danice Sipson,F,4,43782
Carolina Forten,F,6,93127
Efren Neild,M,5,162680
Petey Cunio,M,2,297109
Blythe Torry,F,5,39074
Paulina Halle,M,3,74807
Jessie Saville,F,7,231904
Trixi Ambrosio,F,8,10429
Rudd Ingleston,F,10,220208
Richie Wilsone,F,1,267447
Desmond Parbrook,F,9,166254
Dickie Boothroyd,M,1,245578
Jo-anne Bussell,F,8,176171
Cesar Halls,F,2,172074
Tucky Rosoni,M,3,101791
Kevyn Mungane,M,4,33543
Virginia Bargery,M,2,177376
Padraic Riches,M,6,126976
Wandie Gallant,F,4,20592
Marcus Verzey,F,8,255126
Miguela Towns,F,7,209386
Abdel Kuhnke,M,8,14206
Sidonnie Gregson,F,1,224814
Koral Bonifacio,M,4,41818
Hadley Rennix,F,9,244015
Sim Gypson,M,0,221068
Johnny Guslon,F,10,62122
Iorgo Donati,M,5,229935
Dicky Whiteway,M,4,47352
Ado Laetham,F,1,22592
Lou Kellington,M,6,120820
Shaun Mizzi,M,7,60667
Adolpho Dowsett,F,5,127908
Adan Hoffner,M,2,223564
Barrett McMichael,M,5,219704
Gabey Skellen,F,1,131182
Winfred Bareford,F,1,187394
Siffre Restieaux,F,6,53610
Bella Suatt,F,9,194339
Freedman Shrive,F,9,48740
Natale Brakespear,F,1,18047
Rancell Eliasson,M,7,216200
Jule Cobbold,F,5,191276
Kendricks Bladesmith,M,8,169658
Gertie Tellenbrook,F,3,252161
Elysee Rawdales,M,7,43870
Nicholle MacKnight,M,8,250369
Jessy Clemensen,M,10,249093
Janeczka Rottger,F,9,22777
Astra Oloshin,M,10,260838
Willy Greenard,F,7,113764
Carlo Ramsby,F,6,11747
Audra Pinfold,M,7,66655
Elihu Dunton,M,0,290442
Lamar Giocannoni,M,4,108519
